Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49711E+11,2.74039E+11,3.02571E+11,3.23057E+11
Bulgaria,BGR,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142,69889347433
Bahrain,BHR,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37801462766,38652579787,34729228723
"Bahamas, The",BHS,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000
Bosnia and Herzegovina,BIH,5800774717,6728771314,8498560902,10157553968,11222953335,12864610863,15778767411,19112739398,17613836527,17176781046,18644723854,17221192466,18172335776,18560861389,16219819017,16914287349,18079075771,20177409351,20201323260,19946496563
Belarus,BLR,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64409647194,60258239056
Belize,BLZ,868358750,925197950,983575600,1051386600,1102564900,1210603750,1271598050,1351338650,1317309450,1377177100,1460797903,1522897506,1579411253,1667335061,1721700991,1789304088,1858529677,1915899787,1982518541,1636280797
Bermuda,BMU,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000
Bolivia,BOL,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844,36572764863
Brazil,BRA,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87782E+12,1.44473E+12
Barbados,BRB,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4418000000
Brunei Darussalam,BRN,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959,12005825770
Bhutan,BTN,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2535657069,2315437338
Botswana,BWA,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,15654660710,13578754072,15082578065,16088437675,16914245098,16593720656,15061922802
Central African Republic,CAF,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349794,2220978978,2220307369,2380087758
Canada,CAN,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72185E+12,1.74158E+12,1.64404E+12
Central Europe and the Baltics,CEB,4.68798E+11,5.28225E+11,6.34036E+11,7.63111E+11,8.86826E+11,1.00287E+12,1.26663E+12,1.53232E+12,1.29034E+12,1.31803E+12,1.44911E+12,1.35332E+12,1.42272E+12,1.46565E+12,1.29297E+12,1.32141E+12,1.46392E+12,1.64533E+12,1.67386E+12,1.65326E+12
Switzerland,CHE,2.87227E+11,3.10176E+11,3.63063E+11,4.05531E+11,4.20545E+11,4.43802E+11,4.93537E+11,5.70304E+11,5.582E+11,6.03434E+11,7.22038E+11,6.9211E+11,7.12748E+11,7.34397E+11,7.0215E+11,6.95601E+11,7.04479E+11,7.35539E+11,7.31767E+11,7.52248E+11
Channel Islands,CHI,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,,,,
Chile,CHL,70979923960,69736811435,75643459840,99210392858,1.22965E+11,1.54788E+11,1.73606E+11,1.79638E+11,1.72389E+11,2.18538E+11,2.52252E+11,2.67122E+11,2.78384E+11,2.60542E+11,2.43919E+11,2.5044E+11,2.77035E+11,2.97572E+11,2.79385E+11,2.5294E+11
China,CHN,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55034E+12,4.59431E+12,5.1017E+12,6.08716E+12,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.42799E+13,1.47227E+13
Cote d'Ivoire,CIV,16810536884,18054384023,21251755294,23510577108,24036917017,25281414473,28760092035,34078243426,33886814907,34936305297,36693712825,36302305578,42760237561,35363533866,45814637971,47964234560,51588158718,58011466451,58539424930,61348579465
Cameroon,CMR,10953485244,12417251816,15970315751,18826215278,19509850837,20910513975,23928251334,27715144580,27932971683,27507499709,30630912185,30155064574,33728622819,36386546918,32210232912,33814337900,36098550142,39973839065,39670977333,40804449726
"Congo, Dem. Rep.",COD,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,47146004587,50400747050,48716960860
"Congo, Rep.",COG,2796704577,3034251042,3503723245,4656975223,6647357442,8065134528,8771102025,11602893043,9684321633,13135580695,15634897273,17693924573,17953617927,17889079958,11885478502,10215989995,11090177747,13670036996,12750339023,10187122341
Colombia,COL,98211749596,97963003805,94641378693,1.17082E+11,1.45619E+11,1.61619E+11,2.06182E+11,2.42187E+11,2.32398E+11,2.86563E+11,3.34944E+11,3.70921E+11,3.82116E+11,3.81112E+11,2.93482E+11,2.82825E+11,3.11884E+11,3.34198E+11,3.2343E+11,2.71438E+11
Comoros,COM,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1188797575,1192559739,1235400352
Cabo Verde,CPV,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1662998678,1768319144,1966503223,1981845741,1703698677
Costa Rica,CRI,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700345,30801744881,30745712007,37658614803,42762617082,47231651863,50949672206,52016408951,56441917653,58847016045,60516043590,62420165100,64072870932,61846895121
Caribbean small states,CSS,35249133311,36990732762,39545920854,43259612458,48918948094,55671360538,61875369660,70340114413,59411440870,64524447018,69668271733,72051115324,73345409464,74470922980,73243299833,69598702058,71693634217,75312833438,76173669481,66039332389
Cuba,CUB,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.0005E+11,1.03428E+11,1.07352E+11
Curacao,CUW,,,,,,,,,,,3038699609,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908045,3101787709,2595821709
Cayman Islands,CYM,,,,,,4200439458,4466438858,4586114125,4281868715,4156990760,4186223809,4291159006,4405954638,4563017881,4708336733,4909498980,5166467299,5522625585,5935769351,5591623665
Cyprus,CYP,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22870833710,25522671233,25758357775,24612646488
Czech Republic,CZE,67808032980,82196001051,1.0009E+11,1.19814E+11,1.37143E+11,1.56264E+11,1.90184E+11,2.36816E+11,2.07434E+11,2.0907E+11,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.4895E+11,2.52498E+11,2.45349E+11
Germany,DEU,1.94411E+12,2.06862E+12,2.49613E+12,2.80919E+12,2.8458E+12,2.9922E+12,3.42123E+12,3.73003E+12,3.39779E+12,3.39635E+12,3.74441E+12,3.52734E+12,3.73274E+12,3.88392E+12,3.35624E+12,3.4675E+12,3.68173E+12,3.97535E+12,3.88833E+12,3.84641E+12
Djibouti,DJI,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2430274292,2603540257,2751445574,3012803457,3324615549,3384385217
Dominica,DMA,340203703.7,333196296.3,343311111.1,367200000,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,550622222.2,611537037,504214814.8
Denmark,DNK,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.47561E+11,3.56085E+11
Dominican Republic,DOM,25601765401,27137508657,21403167848,22322395368,35777570136,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329
Algeria,DZA,54744712815,56760355865,67863828413,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11
East Asia & Pacific (excluding high income),EAP,2.29512E+12,2.72189E+12,3.3697E+12,4.10506E+12,4.95808E+12,6.20192E+12,8.24616E+12,1.08461E+13,1.20461E+13,1.44009E+13,1.74634E+13,1.07745E+13,1.18283E+13,1.27512E+13,1.32812E+13,1.35602E+13,1.48193E+13,1.6575E+13,1.71354E+13,1.74489E+13
Early-demographic dividend,EAR,3.80007E+12,3.93673E+12,4.6849E+12,5.64589E+12,6.77609E+12,8.0874E+12,1.01806E+13,1.23817E+13,1.28148E+13,1.5335E+13,1.74972E+13,1.01515E+13,1.02509E+13,1.06034E+13,1.00824E+13,1.03078E+13,1.11376E+13,1.12148E+13,1.15273E+13,1.06682E+13
East Asia & Pacific,EAS,8.23472E+12,8.58723E+12,9.75422E+12,1.11761E+13,1.22571E+13,1.34889E+13,1.58396E+13,1.90728E+13,2.01799E+13,2.35735E+13,2.76051E+13,2.11871E+13,2.13676E+13,2.20384E+13,2.19514E+13,2.27207E+13,2.42685E+13,2.64163E+13,2.69815E+13,2.70974E+13
Europe & Central Asia (excluding high income),ECA,6.95454E+11,7.96769E+11,1.00502E+12,1.33099E+12,1.68805E+12,2.07208E+12,2.68405E+12,3.32469E+12,2.6119E+12,3.11937E+12,3.85333E+12,4.08533E+12,4.34102E+12,4.04579E+12,3.09913E+12,2.96586E+12,3.32988E+12,3.42399E+12,3.49393E+12,3.2224E+12
Europe & Central Asia,ECS,1.01573E+13,1.10997E+13,1.35181E+13,1.57584E+13,1.67806E+13,1.81692E+13,2.12295E+13,2.33183E+13,2.05105E+13,2.10136E+13,2.32964E+13,2.2463E+13,2.34775E+13,2.3794E+13,2.05086E+13,2.04456E+13,2.16489E+13,2.32173E+13,2.29349E+13,2.21268E+13
Ecuador,ECU,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,98808010000
"Egypt, Arab Rep.",EGY,96684636119,85146067416,80288461538,78782467532,89600665557,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.65253E+11
Euro area,EMU,6.59067E+12,7.16611E+12,8.84296E+12,1.01419E+13,1.05197E+13,1.11748E+13,1.28629E+13,1.41012E+13,1.28879E+13,1.26291E+13,1.36197E+13,1.26389E+13,1.31917E+13,1.3491E+13,1.16697E+13,1.19645E+13,1.26462E+13,1.36922E+13,1.34138E+13,1.30212E+13
Eritrea,ERI,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,,,,,,
Spain,ESP,6.27287E+11,7.05394E+11,9.05492E+11,1.06709E+12,1.15329E+12,1.25934E+12,1.47213E+12,1.62522E+12,1.48558E+12,1.42072E+12,1.47877E+12,1.32482E+12,1.35476E+12,1.3694E+12,1.19512E+12,1.23208E+12,1.3093E+12,1.4203E+12,1.39305E+12,1.28148E+12
Estonia,EST,6254649539,7367975888,9874013098,12145911801,14106790200,17022870405,22449129483,24341678629,19633031398,19523477326,23183616046,23020466785,25108615092,26598657881,22881558192,24056487771,26857880622,30474612057,31045591753,30650285472
Ethiopia,ETH,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,1.07645E+11
European Union,EUU,7.38817E+12,8.05002E+12,9.91255E+12,1.14006E+13,1.1907E+13,1.27047E+13,1.47126E+13,1.62406E+13,1.47132E+13,1.45454E+13,1.57418E+13,1.46369E+13,1.5296E+13,1.56342E+13,1.35472E+13,1.38852E+13,1.47348E+13,1.59715E+13,1.56896E+13,1.52921E+13
Fragile and conflict affected situations,FCS,9.37235E+11,1.15556E+12,1.55505E+12,2.04863E+12,2.63608E+12,3.42927E+12,4.70224E+12,6.37987E+12,7.00553E+12,8.23729E+12,9.40115E+12,1.79286E+12,1.80585E+12,1.95764E+12,1.5588E+12,1.4062E+12,1.43884E+12,1.57148E+12,1.65993E+12,1.50627E+12
Finland,FIN,1.29421E+11,1.39738E+11,1.71274E+11,1.97117E+11,2.04809E+11,2.16908E+11,2.56053E+11,2.84554E+11,2.52497E+11,2.49181E+11,2.75244E+11,2.58305E+11,2.71285E+11,2.74497E+11,2.3444E+11,2.40608E+11,2.55017E+11,2.7558E+11,2.68782E+11,2.69751E+11
Fiji,FJI,1652464201,1833279985,2300453634,2708078477,2980484920,3076305453,3378314600,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581371848,5496264766,4533883782
France,FRA,1.37647E+12,1.49429E+12,1.84048E+12,2.11574E+12,2.19613E+12,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58874E+12,2.78959E+12,2.72887E+12,2.63032E+12
Faroe Islands,FRO,1147654635,1262669892,1494011567,1688237552,1727792693,1984445416,2290133549,2432415998,2268387771,2320424601,2490807831,2366301252,2627049837,2850743875,2518096286,2738832687,2899226098,3051341336,3126293220,
"Micronesia, Fed. Sts.",FSM,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,408057100,410083600
Gabon,GAB,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16867325127,16874405840,15316826192
United Kingdom,GBR,1.64391E+12,1.78408E+12,2.05709E+12,2.42181E+12,2.54483E+12,2.71706E+12,3.10618E+12,2.93888E+12,2.4258E+12,2.49111E+12,2.67489E+12,2.71916E+12,2.80329E+12,3.08717E+12,2.95657E+12,2.72285E+12,2.69902E+12,2.90079E+12,2.87867E+12,2.7642E+12
Georgia,GEO,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255562,15846489611
Ghana,GHA,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,68532281806
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,11857030337,13513809258,15681050917
"Gambia, The",GMB,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1812529105,1868086275
Guinea-Bissau,GNB,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243
Equatorial Guinea,GNQ,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314443429,21357343682,22388344124,21948834290,21765453087,13185496881,11240808847,12200913888,13097012189,11417278045,10021856754
Greece,GRC,1.36191E+11,1.53831E+11,2.01924E+11,2.40521E+11,2.47783E+11,2.73318E+11,3.18498E+11,3.54461E+11,3.3E+11,2.96835E+11,2.82626E+11,2.42043E+11,2.3884E+11,2.35145E+11,1.95605E+11,1.93017E+11,1.99351E+11,2.11946E+11,2.05144E+11,1.88835E+11
Grenada,GRD,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741,1125685185,1166523556,1212694407,1042100556
Greenland,GRL,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2851610656,3040414278,2982247279,
Guatemala,GTM,18405203853,20444205991,21576351799,23577286227,26783543667,29744368111,33567868323,38503862831,37125943565,40676432029,46876114650,49593961142,52996540704,57852399964,62186186576,66053725049,71654134379,73208583759,77020015201,77604632171
Guam,GUM,,3394000000,3569000000,3869000000,4213000000,4238000000,4397000000,4658000000,4828000000,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6060000000,6364000000,5844000000
Guyana,GUY,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730971150,3025187924,3165663153,3432913073,3691384318,4063089192,4167800259,4127659492,4279840194,4482697337,4748174334,4787636237,5173760192,5471256595
High income,HIC,2.74199E+13,2.85678E+13,3.20294E+13,3.56524E+13,3.77053E+13,3.98132E+13,4.35279E+13,4.62699E+13,4.339E+13,4.5481E+13,4.90999E+13,4.91482E+13,4.97395E+13,5.08242E+13,4.80456E+13,4.90865E+13,5.13069E+13,5.45423E+13,5.50344E+13,5.33963E+13
"Hong Kong SAR, China",HKG,1.69403E+11,1.66349E+11,1.61385E+11,1.691E+11,1.8157E+11,1.93536E+11,2.11597E+11,2.1928E+11,2.14046E+11,2.28638E+11,2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,3.09384E+11,3.20838E+11,3.41244E+11,3.61692E+11,3.63016E+11,3.46586E+11
Honduras,HND,7565854724,7775251510,8140278401,8772169959,9672023050,10841724917,12275500116,13789443623,14486159608,15729649159,17588098575,18400538859,18372173381,19618567250,20833948800,21566622850,22975415842,23900438564,24915522849,23662231634
Heavily indebted poor countries (HIPC),HPC,1.71308E+11,1.84419E+11,2.08777E+11,2.40665E+11,2.7658E+11,3.26148E+11,3.91059E+11,4.65062E+11,4.63586E+11,5.04396E+11,5.5889E+11,5.78534E+11,6.49339E+11,6.73234E+11,6.58855E+11,6.67163E+11,7.19093E+11,7.67292E+11,7.88297E+11,7.9572E+11
Croatia,HRV,23273640257,27074550258,34985749883,41958833541,45780237257,50860788253,60542673503,70750646248,63084004705,60426018629,63169910822,57192346923,58889082315,58330289757,50163192883,52295158344,56214427431,62247874949,62246206341,57203783203
Haiti,HTI,6331961555,6058134467,4826827577,6036959915,7184064657,7518107787,9522763154,10485225353,11597014807,11859315079,13008754111,13708926466,14902474091,15139264670,14833154472,13987693739,15035560373,16455034353,14785839383,14508218017
Hungary,HUN,53749989092,67608919144,85302003908,1.04141E+11,1.13237E+11,1.15751E+11,1.40228E+11,1.58374E+11,1.31114E+11,1.32231E+11,1.42E+11,1.28857E+11,1.35733E+11,1.41079E+11,1.2521E+11,1.28636E+11,1.43136E+11,1.60587E+11,1.63526E+11,1.55808E+11
IBRD only,IBD,5.92239E+12,6.01238E+12,6.75936E+12,8.05754E+12,9.63469E+12,1.14216E+13,1.41919E+13,1.70331E+13,1.65246E+13,2.00692E+13,2.36961E+13,2.51891E+13,2.66069E+13,2.75043E+13,2.57779E+13,2.59858E+13,2.86801E+13,3.04789E+13,3.11841E+13,2.99006E+13
IDA & IBRD total,IBT,6.9068E+12,7.26573E+12,8.45785E+12,1.02342E+13,1.23677E+13,1.49345E+13,1.89417E+13,2.33708E+13,2.35421E+13,2.82707E+13,3.32145E+13,2.70093E+13,2.8527E+13,2.95447E+13,2.77939E+13,2.79427E+13,3.07034E+13,3.26227E+13,3.3421E+13,3.21373E+13
IDA total,IDA,9.82004E+11,1.25265E+12,1.69892E+12,2.17784E+12,2.73489E+12,3.51633E+12,4.75565E+12,6.34738E+12,7.02845E+12,8.21423E+12,9.53316E+12,1.82018E+12,1.92005E+12,2.04042E+12,2.01521E+12,1.95676E+12,2.02439E+12,2.145E+12,2.2378E+12,2.23744E+12
